Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,DC1-BL1A,Ethernet7,l3_interface,,,True
l3leaf,DC1-BL1A,Ethernet8,l3_interface,,,True
l3leaf,DC1-BL1A,Ethernet9,l3_interface,,,True
l3leaf,DC1-BL1A,Ethernet10,l3_interface,,,True
l3leaf,DC1-BL1A,Ethernet10.100,l3_interface,,,True
l3leaf,DC1-BL1A,Ethernet10.200,l3_interface,,,True
l3leaf,DC1-BL1A,Ethernet41,spine,DC1-SPINE1,Ethernet6,True
l3leaf,DC1-BL1A,Ethernet42,spine,DC1-SPINE2,Ethernet6,True
l3leaf,DC1-BL1A,Ethernet43,spine,DC1-SPINE3,Ethernet6,True
l3leaf,DC1-BL1A,Ethernet44,spine,DC1-SPINE4,Ethernet6,True
l3leaf,DC1-BL1A,Ethernet4000,my_precious,MY-own-peer,Ethernet123,True
